
Symbol table '.dynsym' contains 2746 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   316: 00050d40     0 FUNC    WEAK   DEFAULT    8 pathconf
   317: 000c6510     0 FUNC    GLOBAL DEFAULT    8 __sys_sigprocmask
   318: 0008a340   145 FUNC    GLOBAL DEFAULT    8 __strtok_r
   319: 0006fdb0   255 FUNC    GLOBAL DEFAULT    8 pmap_set
   320: 00050680     0 FUNC    WEAK   DEFAULT    8 _lio_listio
   321: 000d4818     4 OBJECT  GLOBAL DEFAULT   11 svc_maxfd
   322: 000b1ea0     0 FUNC    WEAK   DEFAULT    8 munmap
   323: 0004ffa0     0 FUNC    GLOBAL DEFAULT    8 __sys_fhstatfs
   324: 00027ed0    12 FUNC    GLOBAL DEFAULT    8 fileno_unlocked
   325: 0003b270   349 FUNC    GLOBAL DEFAULT    8 __nss_compat_get[...]
   326: 000630b0   113 FUNC    GLOBAL DEFAULT    8 _yp_check
   327: 00050600     0 FUNC    WEAK   DEFAULT    8 sched_getparam
   328: 0004ae50    66 FUNC    GLOBAL DEFAULT    8 fts_set
   329: 0003c570    66 FUNC    GLOBAL DEFAULT    8 __inet_lnaof
   330: 000b9000   237 FUNC    GLOBAL DEFAULT    8 __buf_free
   331: 00049450  1530 FUNC    GLOBAL DEFAULT    8 getttyent
   332: 000416e4     0 FUNC    WEAK   DEFAULT    8 _longjmp
   333: 000eb3e0  1025 OBJECT  GLOBAL DEFAULT   18 paddr
   334: 0004fdc0     0 FUNC    WEAK   DEFAULT    8 _extattr_delete_link
   335: 0003dfa0   692 FUNC    GLOBAL DEFAULT    8 wcstoull
   336: 00050860     0 FUNC    GLOBAL DEFAULT    8 __sys_kldload
   337: 000ca850     4 OBJECT  GLOBAL DEFAULT   10 __nan
   338: 0003ae20   153 FUNC    GLOBAL DEFAULT    8 __nss_compat_get[...]
   339: 000504a0     0 FUNC    GLOBAL DEFAULT    8 __sys_sigtimedwait
   340: 000d6fa4     0 OBJECT  GLOBAL DEFAULT  ABS _DYNAMIC
   341: 000c7220    35 FUNC    GLOBAL DEFAULT    8 _flockfile_debug_stub
   342: 000c4de0   113 FUNC    GLOBAL DEFAULT    8 mpool_sync
   343: 0009dca0    10 FUNC    GLOBAL DEFAULT    8 _nsyywrap
   344: 000343c0   156 FUNC    GLOBAL DEFAULT    8 extattr_string_t[...]
   345: 0005dfc8     0 FUNC    WEAK   DEFAULT    8 __acl_aclcheck_file
   346: 000c73a0  1165 FUNC    GLOBAL DEFAULT    8 __qdivrem
   347: 00050e00     0 FUNC    WEAK   DEFAULT    8 _msgsys
   348: 000c7220    35 FUNC    WEAK   DEFAULT    8 _flockfile_debug
   349: 000513e0     0 FUNC    WEAK   DEFAULT    8 mknod
   350: 00080210    80 FUNC    GLOBAL DEFAULT    8 xdrmem_create
   351: 000ebec8     4 OBJECT  GLOBAL DEFAULT   18 _nsyychar
   352: 00046280   189 FUNC    GLOBAL DEFAULT    8 shm_open
   353: 0007f5d0    51 FUNC    GLOBAL DEFAULT    8 atol
   354: 00065920  2141 FUNC    GLOBAL DEFAULT    8 __rpc_get_time_offset
   355: 000ebefc     4 OBJECT  GLOBAL DEFAULT   18 _dns_ttl_
   356: 00051060     0 FUNC    GLOBAL DEFAULT    8 __sys_getrusage
